Source,Target,Operator,ServiceNo,StopSequence
11201,11211,TTS,106,25
11211,11221,TTS,106,26
11221,11231,TTS,106,27
11231,11419,TTS,106,28
11419,11409,TTS,106,29
11409,11181,TTS,106,30
11181,11191,TTS,106,31
11191,19011,TTS,106,32
19011,19021,TTS,106,33
19021,19031,TTS,106,34
19031,19041,TTS,106,35
19041,17151,TTS,106,36
17151,17161,TTS,106,37
17161,17171,TTS,106,38
17171,17181,TTS,106,39
17181,20101,TTS,106,40
20101,28011,TTS,106,41
28011,28181,TTS,106,42
28181,28101,TTS,106,43
28101,42311,TTS,106,44
42311,43621,TTS,106,45
43621,43611,TTS,106,46
43611,43181,TTS,106,47
43181,43171,TTS,106,48
43171,43009,TTS,106,49
43009,43179,TTS,106A,1
43179,43189,TTS,106A,2
43189,43619,TTS,106A,3
43619,43629,TTS,106A,4
43629,42319,TTS,106A,5
42319,28109,TTS,106A,6
28109,28189,TTS,106A,7
28189,28019,TTS,106A,8
28019,20109,TTS,106A,9
20109,17189,TTS,106A,10
17189,17179,TTS,106A,11
64009,64391,SBST,107,1
64391,63351,SBST,107,2
63351,63341,SBST,107,3
63341,63059,SBST,107,4
63059,63049,SBST,107,5
63049,63039,SBST,107,6
63039,63029,SBST,107,7
63029,63019,SBST,107,8
63019,62149,SBST,107,9
62149,62139,SBST,107,10
62139,62129,SBST,107,11
62129,62119,SBST,107,12
62119,61049,SBST,107,13
61049,61039,SBST,107,14
61039,61029,SBST,107,15
61029,61019,SBST,107,16
61019,60269,SBST,107,17
60269,60209,SBST,107,18
60209,60179,SBST,107,19
60179,60221,SBST,107,20
60221,60039,SBST,107,21
60039,60029,SBST,107,22
60029,60019,SBST,107,23
60019,7369,SBST,107,24
7369,7379,SBST,107,25
7379,1319,SBST,107,26
1319,1219,SBST,107,27
1219,1239,SBST,107,28
1239,1529,SBST,107,29
1529,1519,SBST,107,30
1519,1629,SBST,107,31
1629,1619,SBST,107,32
1619,2029,SBST,107,33
2029,3019,SBST,107,34
3019,3059,SBST,107,35
3059,3129,SBST,107,36
3129,3218,SBST,107,37
3218,3239,SBST,107,38
3239,3222,SBST,107,1
3222,3111,SBST,107,2
3111,3031,SBST,107,3
3031,3011,SBST,107,4
3011,2111,SBST,107,5
2111,1611,SBST,107,6
1611,1621,SBST,107,7
1621,1511,SBST,107,8
1511,1521,SBST,107,9
1521,1231,SBST,107,10
1231,1211,SBST,107,11
1211,1311,SBST,107,12
1311,7371,SBST,107,13
7371,60011,SBST,107,14
60011,60021,SBST,107,15
60021,60031,SBST,107,16
60031,60229,SBST,107,17
60229,60159,SBST,107,18
60159,60161,SBST,107,19
60161,60201,SBST,107,23
60201,60261,SBST,107,24
60261,61011,SBST,107,25
61011,61021,SBST,107,26
61021,61031,SBST,107,27
61031,61041,SBST,107,28
61041,62111,SBST,107,29
62111,62121,SBST,107,30
62121,62131,SBST,107,31
62131,62141,SBST,107,32
62141,63011,SBST,107,33
63011,63021,SBST,107,34
63021,63031,SBST,107,35
63031,63041,SBST,107,36
63041,63051,SBST,107,37
63051,63349,SBST,107,38
63349,63359,SBST,107,39
63359,64399,SBST,107,40
64399,64009,SBST,107,41
64009,64391,SBST,107M,1
64391,63351,SBST,107M,2
63351,63341,SBST,107M,3
63341,63059,SBST,107M,4
63059,63049,SBST,107M,5
63049,63039,SBST,107M,6
63039,63029,SBST,107M,7
63029,63019,SBST,107M,8
63019,62149,SBST,107M,9
62149,62139,SBST,107M,10
62139,62129,SBST,107M,11
62129,62119,SBST,107M,12
62119,61049,SBST,107M,13
61049,61039,SBST,107M,14
61039,61029,SBST,107M,15
61029,61019,SBST,107M,16
61019,60269,SBST,107M,17
60269,60209,SBST,107M,18
60209,60179,SBST,107M,19
60179,60221,SBST,107M,20
60221,60039,SBST,107M,21
60039,60029,SBST,107M,22
60029,60019,SBST,107M,23
60019,7369,SBST,107M,24
7369,7379,SBST,107M,25
7379,1319,SBST,107M,26
1319,1219,SBST,107M,27
1219,1239,SBST,107M,28
1239,1529,SBST,107M,29
1529,1519,SBST,107M,30
1519,1629,SBST,107M,31
1629,1619,SBST,107M,32
1619,2089,SBST,107M,33
2089,2169,SBST,107M,34
2169,2141,SBST,107M,35
2141,1511,SBST,107M,36
1511,1521,SBST,107M,37
1521,1231,SBST,107M,38
1231,1211,SBST,107M,39
1211,1311,SBST,107M,40
1311,7371,SBST,107M,41
7371,60011,SBST,107M,42
60011,60021,SBST,107M,43
60021,60031,SBST,107M,44
60031,60229,SBST,107M,45
60229,60159,SBST,107M,46
60159,60161,SBST,107M,47
60161,60201,SBST,107M,51
60201,60261,SBST,107M,52
60261,61011,SBST,107M,53
61011,61021,SBST,107M,54
61021,61031,SBST,107M,55
61031,61041,SBST,107M,56
61041,62111,SBST,107M,57
62111,62121,SBST,107M,58
62121,62131,SBST,107M,59
62131,62141,SBST,107M,60
62141,63011,SBST,107M,61
63011,63021,SBST,107M,62
63021,63031,SBST,107M,63
63031,63041,SBST,107M,64
63041,63051,SBST,107M,65
63051,63349,SBST,107M,66
63349,63359,SBST,107M,67
63359,64399,SBST,107M,68
64399,64009,SBST,107M,69
